black,white,turn,win
1000,4400,31,1
1000,4500,43,1
1000,4600,35,1
1000,4700,35,1
1000,4800,37,0
1000,4900,33,0
1000,5000,35,1
1000,5100,39,1
1000,5200,49,0
1000,5300,41,0
1000,5400,35,1
1000,5500,33,0
1000,5600,41,0
1000,5700,31,1
1000,5800,37,0
1000,5900,39,1
1000,6000,41,0
1000,6100,35,1
1000,6200,35,1
1000,6300,49,0
1000,6400,31,1
1000,6500,39,1
1000,6600,35,1
1000,6700,51,1
1000,6800,35,1
1000,6900,43,1
1000,7000,35,1
1000,7100,35,1
1000,7200,35,1
1000,7300,51,1
1000,7400,39,1
1000,7500,35,1
1000,7600,27,1
1000,7700,41,0
1000,7800,35,1
1000,7900,35,1
1000,8000,35,1
1100,0,29,0
1100,100,41,0
1100,200,33,0
1100,300,29,0
1100,400,35,1
1100,500,31,1
1100,600,41,0
1100,700,57,0
1100,800,31,1
1100,900,25,0
1100,1000,31,1
1100,1100,31,1
1100,1200,29,0
1100,1300,53,0
1100,1400,45,0
1100,1500,31,1
1100,1600,35,1
1100,1700,45,0
1100,1800,45,0
1100,1900,65,0
1100,2000,57,0
1100,2100,43,1
1100,2200,35,1
1100,2300,41,0
1100,2400,37,0
1100,2500,35,1
1100,2600,35,1
1100,2700,33,0
1100,2800,65,0
1100,2900,45,0
1100,3000,43,1
1100,3100,55,1
1100,3200,35,1
1100,3300,33,0
1100,3400,35,1
1100,3500,35,1
1100,3600,41,0
1100,3700,35,1
1100,3800,35,1
1100,3900,43,1
1100,4000,33,0
1100,4100,36,0
1100,4200,35,1
1100,4300,45,0
1100,4400,39,1
1100,4500,49,0
1100,4600,47,1
1100,4700,35,1
1100,4800,37,0
1100,4900,53,0
1100,5000,35,1
1100,5100,53,0
1100,5200,53,0
1100,5300,47,1
1100,5400,35,1
1100,5500,33,0
1100,5600,47,1
1100,5700,35,1
1100,5800,33,0
1100,5900,33,0
1100,6000,63,1
1100,6100,35,1
1100,6200,35,1
1100,6300,39,1
1100,6400,59,1
1100,6500,31,1
1100,6600,35,1
1100,6700,59,1
1100,6800,35,1
1100,6900,39,1
1100,7000,55,1
1100,7100,35,1
1100,7200,35,1
1100,7300,58,1
1100,7400,39,1
1100,7500,35,1
1100,7600,43,1
1100,7700,39,1
1100,7800,35,1
1100,7900,29,0
1100,8000,37,0
1200,0,40,0
1200,100,28,0
1200,200,41,0
1200,300,43,1
1200,400,33,0
1200,500,35,1
1200,600,43,1
1200,700,41,0
1200,800,43,1
1200,900,69,0
1200,1000,31,1
1200,1100,39,1
1200,1200,37,0
1200,1300,55,1
1200,1400,53,0
1200,1500,35,1
1200,1600,49,0
1200,1700,43,1
1200,1800,61,0
1200,1900,35,1
1200,2000,47,1
1200,2100,69,0
1200,2200,53,0
1200,2300,43,1
1200,2400,43,1
1200,2500,35,1
1200,2600,45,0
1200,2700,33,0
1200,2800,53,0
1200,2900,33,0
1200,3000,65,0
1200,3100,43,1
1200,3200,35,1
1200,3300,31,1
1200,3400,51,1
1200,3500,43,1
1200,3600,33,0
1200,3700,89,0
1200,3800,27,1
1200,3900,33,0
1200,4000,27,1
1200,4100,37,0
1200,4200,33,0
1200,4300,39,1
1200,4400,37,0
1200,4500,39,1
1200,4600,49,0
1200,4700,35,1
1200,4800,49,0
1200,4900,33,0
1200,5000,58,1
1200,5100,37,0
1200,5200,99,1
1200,5300,27,1
1200,5400,101,0
1200,5500,49,0
1200,5600,31,1
1200,5700,31,1
1200,5800,45,0
1200,5900,43,1
1200,6000,45,0
1200,6100,41,0
1200,6200,47,1
1200,6300,39,1
1200,6400,35,1
1200,6500,35,1
1200,6600,31,1
1200,6700,51,1
1200,6800,65,0
1200,6900,42,1
1200,7000,55,1
1200,7100,39,1
1200,7200,39,1
1200,7300,35,1
1200,7400,39,1
1200,7500,27,1
1200,7600,35,1
1200,7700,27,1
1200,7800,27,1
1200,7900,69,0
1200,8000,29,0
1300,0,29,0
1300,100,36,0
1300,200,41,0
1300,300,41,0
1300,400,41,0
1300,500,31,1
1300,600,41,0
1300,700,41,0
1300,800,33,0
1300,900,25,0
1300,1000,19,1
1300,1100,31,1
1300,1200,29,0
1300,1300,41,0
1300,1400,41,0
1300,1500,31,1
1300,1600,49,0
1300,1700,29,0
1300,1800,29,0
1300,1900,43,1
1300,2000,51,1
1300,2100,31,1
1300,2200,27,1
1300,2300,31,1
1300,2400,33,0
1300,2500,35,1
1300,2600,35,1
1300,2700,29,0
1300,2800,43,1
1300,2900,33,0
1300,3000,43,1
1300,3100,45,0
1300,3200,35,1
1300,3300,37,0
1300,3400,35,1
1300,3500,35,1
1300,3600,35,1
1300,3700,35,1
1300,3800,35,1
1300,3900,41,0
1300,4000,43,1
1300,4100,29,0
1300,4200,35,1
1300,4300,45,0
1300,4400,31,1
1300,4500,29,0
1300,4600,35,1
1300,4700,35,1
1300,4800,37,0
1300,4900,41,0
1300,5000,43,1
1300,5100,43,1
1300,5200,41,0
1300,5300,41,0
1300,5400,19,1
1300,5500,33,0
1300,5600,75,1
1300,5700,35,1
1300,5800,32,0
1300,5900,39,1
1300,6000,45,0
1300,6100,35,1
1300,6200,35,1
1300,6300,39,1
1300,6400,27,1
1300,6500,35,1
1300,6600,35,1
1300,6700,43,1
1300,6800,39,1
1300,6900,47,1
1300,7000,55,1
1300,7100,35,1
1300,7200,35,1
1300,7300,58,1
1300,7400,39,1
1300,7500,35,1
1300,7600,35,1
1300,7700,39,1
1300,7800,35,1
1300,7900,29,0
1300,8000,29,0
1400,0,29,0
1400,100,29,0
1400,200,37,0
1400,300,29,0
1400,400,33,0
1400,500,31,1
1400,600,29,0
1400,700,57,0
1400,800,33,0
1400,900,25,0
1400,1000,47,1
1400,1100,31,1
1400,1200,29,0
1400,1300,29,0
1400,1400,33,0
1400,1500,31,1
1400,1600,35,1
1400,1700,29,0
1400,1800,29,0
1400,1900,31,1
1400,2000,41,0
